Date_Time_Hour_Beginning,Thermal_Gen_Excl_Pumping_and_SCO,Eskom_OCGT_SCO_Pumping,Eskom_Gas_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Thermal_Generation,Nuclear_Generation,International_Imports,Eskom_OCGT_Generation,Eskom_Gas_Generation,Dispatchable_IPP_OCGT,Hydro_Water_Generation,Pumped_Water_Generation,IOS_Excl_ILS_and_MLR,ILS_Usage,Manual_Load_Reduction_MLR,Wind,PV,CSP,Other_RE
2022-03-14 14:00:00,21796.067999999999,-4.9320000000000004,-2,0,-12,21815,911,1209,0,0,0,603,438,0,0,0,1195.1579999999999,1216.6010000000001,377.38799999999998,20.178000000000001
2022-03-14 15:00:00,21766.525000000001,-5.0650000000000004,-2,0,-11,21784.59,911,1231,0,0,7.1920000000000002,603,1164,0,0,0,1241.116,1180.568,405.64999999999998,20.248999999999999
2022-03-14 16:00:00,21707.935000000001,-5.0650000000000004,-2,0,-7,21722,911,1271,0,0,573.24800000000005,603,1478,0,0,0,1247.8589999999999,867.97900000000004,401.01100000000002,20.283999999999999
2022-03-14 17:00:00,21872.644,-3.4660000000000002,-2,0,-5,21883.110000000001,911,1251,282,0,918.74900000000002,603,1387,0,0,0,1452.7139999999999,480.17599999999999,415.60899999999998,20.513999999999999
2022-03-14 18:00:00,21921.534,-3.4660000000000002,-2,0,-10,21937,911,1150,374,0,963.91399999999999,603,1602,265,0,0,1495.595,81.673000000000002,396.66800000000001,20.565999999999999
2022-03-14 19:00:00,22136.534,-3.4660000000000002,-2,0,-15,22157,911,1177,374,0,968.25900000000001,603,1082,265,0,0,1547.412,0,354.387,20.57
2022-03-14 20:00:00,22195.067999999999,-4.9320000000000004,-2,0,-392,22594,911,1194,17,0,382.59399999999999,603,0,0,0,0,1651.2809999999999,0,290.005,20.605
2022-03-14 21:00:00,20714.800999999999,-5.1989999999999998,-2,0,-1594,22316,911,1158,0,0,0,603,0,0.5,0,0,1623.5630000000001,0,285.56299999999999,20.605
2022-03-14 22:00:00,18976.067999999999,-4.9320000000000004,-2,0,-2016,20999,911,1108,0,0,0,603,0,2,0,0,1600.886,0,101.512,20.510000000000002
2022-03-14 23:00:00,18062.067999999999,-4.9320000000000004,-2,0,-2055,20124,911,1172,0,0,0,603,0,1.5,0,0,1426.903,0,29.158999999999999,19.911000000000001
2022-03-14 00:00:00,17229.800999999999,-5.1989999999999998,-2,0,-2113,19350,912,1153,0,0,0,603,0,0,0,0,1544.3219999999999,0,0,16.251999999999999
2022-03-14 01:00:00,16819.800999999999,-5.1989999999999998,-2,0,-2177,19004,912,1165,0,0,0,603,0,0,0,0,1574.9829999999999,0,0,16.236999999999998
2022-03-14 02:00:00,16723.535,-5.4649999999999999,-2,0,-2188,18919,912,1158,0,0,0,603,0,0,0,0,1510.453,0,0,16.129000000000001
2022-03-14 03:00:00,17242.800999999999,-5.1989999999999998,-2,0,-1673,18923,913,968,0,0,0,603,0,0,0,0,1338.8309999999999,0,0,16.145
2022-03-14 04:00:00,18602.800999999999,-5.1989999999999998,-2,0,-446,19056,912,1000,0,0,0,603,0,0,0,0,1273.5530000000001,0,0,16.097000000000001
2022-03-14 05:00:00,20759.935000000001,-5.0650000000000004,-2,0,-14,20781,912,1180,0,0,0,603,332,0,0,0,1189.0540000000001,0,0,16.07
2022-03-14 06:00:00,22059.255000000001,-5.0650000000000004,-2,0,-14,22080.32,912,1178,0,0,0,603,806,0,0,0,1166.962,12.804,0,16.07
2022-03-14 07:00:00,21626.800999999999,-5.1989999999999998,-2,0,-14,21648,912,1194,0,0,0,603,851,0,0,0,1174.6890000000001,178.995,0,17.064
2022-03-14 08:00:00,21944.800999999999,-5.1989999999999998,-2,0,-8,21960,912,1175,0,0,0,603,1197,0,0,0,1120.076,504.66000000000003,0.76000000000000001,17.699999999999999
2022-03-14 09:00:00,22156.935000000001,-5.0650000000000004,-2,0,-15,22179,912,1172,0,0,0,603,771,0,0,0,1142.011,825.85199999999998,154.399,17.861999999999998
2022-03-14 10:00:00,22210.485000000001,-5.0650000000000004,-2,0,-16,22233.549999999999,912,1176,0,0,0,603,705,0,0,0,1026.3009999999999,1019.7569999999999,200.727,16.254000000000001
2022-03-14 11:00:00,21978.131000000001,-5.1989999999999998,-2,0,-14,21999.330000000002,912,1190,0,0,0,603,421,0,0,0,1127.9949999999999,1200.979,222.62100000000001,16.585000000000001
2022-03-14 12:00:00,21778.935000000001,-5.0650000000000004,-2,0,-13,21799,912,1208,0,0,0,603,273,0,0,0,1206.0820000000001,1217.2149999999999,324.03500000000003,16.908000000000001
2022-03-14 13:00:00,21894.800999999999,-5.1989999999999998,-2,0,-13,21915,911,1216,0,0,0,603,273,0,0,0,1132.26,1170.654,368.22000000000003,20.181999999999999
2022-03-14 14:00:00,21796.067999999999,-4.9320000000000004,-2,0,-12,21815,911,1209,0,0,0,603,438,0,0,0,1195.1579999999999,1216.6010000000001,377.38799999999998,20.178000000000001
2022-03-14 15:00:00,21766.525000000001,-5.0650000000000004,-2,0,-11,21784.59,911,1231,0,0,7.1920000000000002,603,1164,0,0,0,1241.116,1180.568,405.64999999999998,20.248999999999999
2022-03-14 16:00:00,21707.935000000001,-5.0650000000000004,-2,0,-7,21722,911,1271,0,0,573.24800000000005,603,1478,0,0,0,1247.8589999999999,867.97900000000004,401.01100000000002,20.283999999999999
2022-03-14 17:00:00,21872.644,-3.4660000000000002,-2,0,-5,21883.110000000001,911,1251,282,0,918.74900000000002,603,1387,0,0,0,1452.7139999999999,480.17599999999999,415.60899999999998,20.513999999999999
2022-03-14 18:00:00,21921.534,-3.4660000000000002,-2,0,-10,21937,911,1150,374,0,963.91399999999999,603,1602,265,0,0,1495.595,81.673000000000002,396.66800000000001,20.565999999999999
2022-03-14 19:00:00,22136.534,-3.4660000000000002,-2,0,-15,22157,911,1177,374,0,968.25900000000001,603,1082,265,0,0,1547.412,0,354.387,20.57
2022-03-14 20:00:00,22195.067999999999,-4.9320000000000004,-2,0,-392,22594,911,1194,17,0,382.59399999999999,603,0,0,0,0,1651.2809999999999,0,290.005,20.605
2022-03-14 21:00:00,20714.800999999999,-5.1989999999999998,-2,0,-1594,22316,911,1158,0,0,0,603,0,0.5,0,0,1623.5630000000001,0,285.56299999999999,20.605
2022-03-14 22:00:00,18976.067999999999,-4.9320000000000004,-2,0,-2016,20999,911,1108,0,0,0,603,0,2,0,0,1600.886,0,101.512,20.510000000000002
2022-03-14 23:00:00,18062.067999999999,-4.9320000000000004,-2,0,-2055,20124,911,1172,0,0,0,603,0,1.5,0,0,1426.903,0,29.158999999999999,19.911000000000001
2022-03-15 00:00:00,18010.800999999999,-5.1989999999999998,-2,0,-1734,19752,911,981,0,0,0,603,0,0.90000000000000002,0,0,1284.4880000000001,0,0,19.558
2022-03-15 01:00:00,18193.800999999999,-5.1989999999999998,-2,0,-2151,20352,912,967,0,0,0,603,0,2,0,0,1116.1990000000001,0,0,19.902999999999999
2022-03-15 02:00:00,18072.668000000001,-5.3319999999999999,-2,0,-1781,19861,912,986,0,0,0,603,0,1.367,0,0,1022.092,0,0,20.358000000000001
2022-03-15 03:00:00,18188.067999999999,-4.9320000000000004,-2,0,-1723,19918,912,1016,0,0,0,603,0,0,0,0,1000.105,0,0,20.443000000000001
2022-03-15 04:00:00,19348.800999999999,-5.1989999999999998,-2,0,-1732,21088,913,1189,0,0,0,603,0,0,0,0,1040.5050000000001,0,0,20.048999999999999
2022-03-15 05:00:00,21373.935000000001,-5.0650000000000004,-2,0,-421,21802,913,1197,0,0,372.459,603,8,0,0,0,1021.922,0,0,19.77
